PUBMEDID,FIRST AUTHOR,CATEGORY,COUNTRY OF ORIGIN,COUNTRY OF RECRUITMENT,ADDITONAL ANCESTRY DESCRIPTION
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
29855537,Hirata T,East Asian,NR,NR,Japanese
